n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,value 1,value 2,value 3
100,0.0001357,0.0001781,0.0001236,0.0001458,0.0001034,0.0000031,0.0000137,0.00004006666666666667,1827,2074,2530
1100,0.0019358,0.001825,0.0018344,0.0018650666666666666,0.0001533,0.0001486,0.0001536,0.00015183333333333333,3962,3618,3759
2100,0.0036611,0.0042087,0.0041061,0.003991966666666667,0.0003582,0.0004669,0.0004074,0.00041083333333333336,4156,4370,4038
3100,0.0064462,0.0056859,0.005901,0.006011033333333333,0.0012522,0.0006186,0.0008174,0.0008960666666666667,4264,4014,4280
4100,0.0082984,0.0073423,0.0082261,0.0079556,0.0011211,0.0008371,0.0011339,0.0010307,4065,4309,4237
5100,0.0097664,0.0092626,0.0093543,0.009461099999999998,0.0013682,0.0013728,0.0010989,0.0012799666666666668,4259,4298,4343
6100,0.0109865,0.0121808,0.0119358,0.011701033333333333,0.0016691,0.0014927,0.0018292,0.0016636666666666668,4333,4404,4352
7100,0.0133573,0.013823,0.0134642,0.013548166666666667,0.0018035,0.0019858,0.0015075,0.0017656,4351,4393,4208
8100,0.0152886,0.015152,0.0148434,0.015094666666666666,0.0020279,0.0022947,0.0019823,0.0021016333333333335,4247,4346,4329
9100,0.0170243,0.0163856,0.0173605,0.016923466666666668,0.002366,0.0021934,0.0022258,0.0022617333333333333,4384,4307,4431
10100,0.0183596,0.0188443,0.0191885,0.018797466666666665,0.0031784,0.0029666,0.0023928,0.0028459333333333333,4379,4448,4376
11100,0.0210106,0.0220897,0.0223932,0.021831166666666665,0.0033427,0.0030746,0.0030141,0.0031438,4435,4465,4433
12100,0.0234762,0.0244287,0.021323,0.02307596666666667,0.0032522,0.0031009,0.0030177,0.0031236000000000002,4397,4421,4403
13100,0.0242482,0.0255666,0.0256739,0.0251629,0.0033871,0.0033445,0.0033803,0.003370633333333333,4415,4462,4423
14100,0.0264698,0.0262857,0.0263435,0.026366333333333335,0.0038346,0.0035393,0.0033278,0.003567233333333333,4444,4395,4456
