n,trial 1,trial 2,trial 3,average,value 1,value 2,value 3
100,0.0000052,0.0000035,0.0000039,0.0000042,1718,2054,2530
1100,0.0000435,0.0000377,0.0000362,0.000039133333333333334,3962,3478,3666
2100,0.0000808,0.0000789,0.0000786,0.00007943333333333333,3843,4370,4038
3100,0.0001248,0.0001223,0.0001238,0.00012363333333333332,4123,4014,4244
4100,0.000168,0.0001645,0.0001651,0.00016586666666666664,3819,4238,4174
5100,0.0002052,0.0002024,0.0002309,0.00021283333333333332,4184,4219,4249
6100,0.0002859,0.0002499,0.0002483,0.00026136666666666666,4253,4331,4250
7100,0.0002961,0.0002889,0.0002891,0.0002913666666666667,4235,4356,4180
8100,0.0003284,0.0003239,0.0003249,0.0003257333333333333,4203,4249,4208
9100,0.0003742,0.0003692,0.0003692,0.00037086666666666666,4293,4202,4355
10100,0.0004035,0.0004079,0.0004285,0.00041329999999999996,4287,4365,4296
11100,0.0004694,0.0004568,0.0004589,0.0004617,4344,4328,4332
12100,0.0004974,0.0004969,0.0005028,0.0004990333333333333,4239,4357,4312
13100,0.0005316,0.0005515,0.0005489,0.000544,4338,4349,4322
14100,0.0007692,0.0005978,0.0006071,0.0006580333333333334,4393,4203,4377
15100,0.000815,0.0006416,0.0006358,0.0006974666666666666,4354,4389,4376
16100,0.0006808,0.0006825,0.0006908,0.0006847,4392,4408,4268
17100,0.0007168,0.0007147,0.0007179,0.0007164666666666667,4364,4397,4313
18100,0.0007653,0.0007666,0.0007638,0.0007652333333333334,4325,4313,4344
19100,0.0008181,0.000808,0.0007806,0.0008022333333333334,4257,4410,4369
20100,0.0008233,0.0008484,0.0009034,0.0008583666666666666,4318,4361,4372
21100,0.0008848,0.0009049,0.0008885,0.0008927333333333333,4283,4405,4284
22100,0.000907,0.0008727,0.000868,0.0008825666666666666,4393,4328,4340
23100,0.0009625,0.0009157,0.0009143,0.0009308333333333333,4331,4420,4279
24100,0.0012003,0.0009668,0.0009517,0.0010396,4362,4367,4408
25100,0.0010083,0.0010006,0.0010006,0.0010031666666666667,4416,4338,4360
26100,0.0010396,0.0010463,0.0010461,0.001044,4421,4386,4393
27100,0.0010864,0.00109,0.0010827,0.0010863666666666666,4381,4409,4355
28100,0.0011534,0.0011294,0.0011291,0.0011373,4397,4397,4374
29100,0.0011834,0.0013138,0.0011776,0.0012249333333333333,4408,4413,4346
30100,0.0012502,0.0013595,0.0014086,0.0013394333333333333,4327,4400,4423
31100,0.0012682,0.0012585,0.0012807,0.0012691333333333334,4412,4367,4378
32100,0.0015739,0.001322,0.0014239,0.0014399333333333334,4405,4396,4440
