n,trial 1,trial 2,trial 3,average,value 1,value 2,value 3
100,0.0000325,0.0000035,0.000005,0.000013666666666666664,1608,1489,2171
1100,0.0000268,0.0000191,0.0000183,0.000021400000000000002,3477,3228,2636
2100,0.0000503,0.0000353,0.0000343,0.000039966666666666665,2940,2763,2299
3100,0.0000693,0.0000502,0.0000505,0.00005666666666666667,2937,2243,2910
4100,0.0000848,0.000096,0.0000802,0.000087,2556,2799,2933
5100,0.0001004,0.0000983,0.0000976,0.00009876666666666666,2455,1971,2351
6100,0.000136,0.0001246,0.0001218,0.00012746666666666666,2143,2891,2637
7100,0.0001371,0.0001139,0.0001133,0.00012143333333333334,3220,2519,2068
8100,0.0001726,0.000189,0.0001666,0.00017606666666666667,2467,2466,3356
9100,0.0002159,0.0002534,0.0002441,0.0002378,2725,2723,2541
10100,0.0002171,0.0005195,0.0002016,0.00031273333333333336,2929,3171,3039
11100,0.0002316,0.0002299,0.0002217,0.00022773333333333333,3541,3059,3024
12100,0.0004619,0.000239,0.0002346,0.0003118333333333333,2313,2565,2994
13100,0.0002666,0.0002485,0.0002541,0.0002564,3010,2564,2892
14100,0.0002915,0.0002684,0.0002572,0.0002723666666666667,2573,2780,3157
15100,0.0002918,0.0002846,0.0003186,0.00029833333333333334,3119,3105,3280
16100,0.0003219,0.0003078,0.0002907,0.00030680000000000003,2984,2776,3344
17100,0.0003301,0.0003348,0.0003137,0.0003262,2613,2743,2724
18100,0.0003438,0.0003401,0.0003229,0.00033559999999999997,2986,2867,2375
19100,0.0003395,0.0003341,0.0004186,0.00036406666666666666,2845,2873,3474
20100,0.0004276,0.0004534,0.0003419,0.00040763333333333334,2775,3022,3044
21100,0.0004217,0.0002835,0.0002779,0.0003277,2936,2917,2672
22100,0.0002952,0.0003555,0.0002901,0.00031360000000000003,3249,3251,3262
23100,0.0003266,0.0004145,0.0002975,0.0003462,2528,2957,2556
24100,0.0003194,0.0003027,0.0002983,0.00030680000000000003,3246,2860,3315
25100,0.0005283,0.0006103,0.0004525,0.0005303666666666666,3717,3096,3039
26100,0.0003331,0.0003146,0.0003178,0.0003218333333333333,2628,3517,2476
27100,0.0003329,0.0003195,0.0003179,0.00032343333333333335,2944,3397,3484
28100,0.000337,0.0003258,0.0003251,0.00032930000000000004,3228,2714,3506
29100,0.0003389,0.0003341,0.0003316,0.00033486666666666666,3248,3377,3314
30100,0.0003492,0.0003526,0.0003408,0.00034753333333333334,2848,2827,2452
31100,0.0003636,0.0003524,0.0003863,0.00036743333333333334,2175,3061,3179
32100,0.0003798,0.0004411,0.0003626,0.00039450000000000005,3037,2827,2889
33100,0.0003796,0.0003674,0.0003697,0.00037223333333333335,2669,2277,3382
34100,0.0003814,0.0003706,0.0003789,0.00037696666666666665,3151,3115,3045
35100,0.00041,0.0003828,0.0003897,0.00039416666666666663,3121,2823,2613
36100,0.0004142,0.0003937,0.0003989,0.00040226666666666667,2965,3441,2921
37100,0.0004322,0.0003979,0.000407,0.0004123666666666667,3308,2155,3057
38100,0.0004243,0.0004048,0.0004123,0.0004138,2797,2804,3103
39100,0.0004157,0.000423,0.000451,0.0004299,2942,2166,2883
40100,0.000427,0.0004121,0.0006169,0.0004853333333333333,3196,3385,2681
41100,0.0004463,0.0004221,0.0004321,0.0004335,3407,2690,3349
42100,0.0004763,0.0004323,0.0004447,0.0004511,2526,3013,3180
43100,0.0004421,0.0004305,0.0004353,0.0004359666666666667,3175,3160,3687
44100,0.0004506,0.0004356,0.0004393,0.0004418333333333333,2970,3065,3676
45100,0.0004541,0.0004453,0.0004506,0.00045000000000000004,3538,2942,3237
46100,0.000474,0.0004731,0.0004717,0.00047293333333333335,3220,3581,2700
47100,0.000464,0.0005074,0.0004686,0.00047999999999999996,2932,2838,2959
48100,0.0004987,0.0004606,0.0004599,0.00047306666666666665,3694,2641,3369
49100,0.0004699,0.0004641,0.0004581,0.0004640333333333333,2695,3304,3409
50100,0.0004917,0.0004866,0.0004681,0.00048213333333333336,3254,3731,3167
51100,0.0004845,0.000474,0.000472,0.0004768333333333333,3007,2548,3456
52100,0.0004962,0.0004902,0.0004775,0.00048796666666666675,3415,2552,3235
53100,0.0007431,0.0005497,0.0004896,0.0005941333333333333,3377,3050,2600
54100,0.0005081,0.0004926,0.0004921,0.0004976000000000001,3438,3666,2828
55100,0.0005055,0.0004927,0.0004946,0.0004976,2864,3706,2526
56100,0.000522,0.0005038,0.0005046,0.0005101333333333333,3083,3010,3152
57100,0.0005181,0.0005186,0.000506,0.0005142333333333334,2796,3046,2996
58100,0.0005627,0.0005221,0.0005194,0.0005347333333333334,2735,2914,2909
59100,0.0006808,0.0005488,0.0005341,0.0005879,2531,3027,2374
60100,0.0005426,0.0005469,0.0005959,0.0005618,3083,2860,2855
61100,0.0005639,0.0005472,0.000536,0.0005490333333333333,2770,2675,2543
62100,0.0006298,0.0005481,0.0005414,0.0005731,3029,3328,3536
63100,0.0005521,0.0005571,0.000565,0.0005580666666666667,3716,3437,3288
64100,0.0005459,0.0005413,0.0005614,0.0005495333333333333,2911,2815,3261
65100,0.0005556,0.0005579,0.0005501,0.0005545333333333333,3221,3937,2978
66100,0.0005607,0.0005736,0.0005601,0.0005648,3057,3031,2640
67100,0.0005641,0.0005736,0.0005666,0.0005681,2289,3705,3500
68100,0.0005785,0.0006088,0.0005735,0.0005869333333333334,3469,3115,2911
69100,0.0005803,0.0005907,0.0005833,0.0005847666666666667,2719,2495,2338
70100,0.0006269,0.0005954,0.0005904,0.0006042333333333333,3093,2495,3317
71100,0.0005944,0.0006064,0.0006262,0.0006090000000000001,3840,2220,2948
72100,0.0008017,0.0006312,0.0007462,0.0007263666666666666,3301,2883,2961
73100,0.000631,0.0006254,0.0006142,0.0006235333333333334,3053,3701,3082
74100,0.0006285,0.000622,0.0006208,0.0006237666666666667,3626,2901,2113
75100,0.0006432,0.0006362,0.0006208,0.0006334,3599,2826,2908
76100,0.0008086,0.0006388,0.0006364,0.0006946000000000001,3457,2974,3629
77100,0.0006449,0.0007158,0.0006392,0.0006666333333333334,2074,2627,2493
78100,0.0006283,0.0006551,0.0006449,0.0006427666666666667,2794,2976,2850
79100,0.0006586,0.000698,0.0006622,0.0006729333333333333,3535,3048,2996
80100,0.0006982,0.0008916,0.00071,0.0007666,3293,3445,3048
81100,0.0006892,0.0008508,0.0006962,0.0007453999999999999,3332,2433,3627
82100,0.0007115,0.0006943,0.000677,0.0006942666666666667,3252,3046,3160
83100,0.0006999,0.0007082,0.0009749,0.0007943333333333334,3277,2686,3621
84100,0.0007106,0.0006978,0.0006897,0.0006993666666666667,3297,2691,2226
85100,0.0007043,0.0007474,0.0007189,0.0007235333333333333,3596,2587,2945
86100,0.0007172,0.000716,0.0007146,0.0007159333333333334,3384,3282,2609
87100,0.0007236,0.0007251,0.0007207,0.0007231333333333334,2451,2681,3217
88100,0.0007864,0.0007347,0.0007757,0.0007656,2806,3160,3562
89100,0.000869,0.0007546,0.0007415,0.0007883666666666667,2557,3409,2866
90100,0.0007602,0.0007422,0.0007441,0.0007488333333333334,3378,3014,3212
91100,0.000755,0.0007424,0.0008192,0.0007722000000000001,3749,3107,2649
92100,0.00089,0.0007825,0.0009708,0.0008811,3662,3355,3251
93100,0.0007962,0.0007751,0.0007723,0.0007812,3526,3056,2674
94100,0.0007945,0.0007827,0.0007846,0.0007872666666666666,3952,3509,2811
95100,0.0009388,0.0009362,0.0008036,0.0008928666666666666,2800,2377,3174
96100,0.0007981,0.0007895,0.0008023,0.0007966333333333334,2601,3163,2890
97100,0.000852,0.000823,0.000812,0.0008289999999999999,3492,2763,2708
98100,0.0008255,0.0008223,0.000815,0.0008209333333333334,2573,3005,3862
99100,0.0009682,0.0008472,0.0008424,0.0008859333333333334,3357,3212,2305
100000,0.0008364,0.0008189,0.0008276,0.0008276333333333332,2117,2518,2654
