n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,cache miss 1,cache miss 2,cache miss 3,average,cache hit 1,cache hit 2,cache hit 3,average
100,0.00012625,0.000201833,0.000162875,0.00016365266666666667,0.000003875,0.000002791,0.00000275,0.0000031386666666666663,21174,37645,30017,29612,1779,5025,3575,3459.6666666666665
1100,0.006082625,0.005704208,0.005627666,0.005804833,0.00002575,0.000025833,0.000025584,0.000025722333333333333,859361,812872,825812,832681.6666666666,190695,172488,167759,176980.66666666666
2100,0.012870042,0.013343167,0.012906834,0.013040014333333334,0.00034525,0.000279083,0.000341709,0.000322014,1725120,1711025,1702074,1712739.6666666667,417921,410115,374466,400834
3100,0.020263792,0.019245958,0.019119333,0.019543027666666667,0.000131666,0.000147458,0.0001275,0.00013554133333333333,2612168,2592311,2605632,2603370.3333333335,623530,637788,606174,622497.3333333334
4100,0.026564667,0.028168958,0.028017167,0.027583597333333335,0.00077525,0.000588333,0.000543583,0.000635722,3510892,3478099,3527037,3505342.6666666665,853675,832276,886383,857444.6666666666
5100,0.036041583,0.035721459,0.0340265,0.035263180666666664,0.000348375,0.000343584,0.000283333,0.0003250973333333333,4404784,4388798,4410880,4401487.333333333,1128370,1094695,1101613,1108226
6100,0.041186666,0.041457208,0.040439,0.04102762466666667,0.000380875,0.000333083,0.00034725,0.00035373600000000006,5264968,5287020,5287983,5279990.333333333,1303505,1311533,1272503,1295847
7100,0.048111583,0.048016375,0.0480265,0.048051486,0.000539833,0.00054475,0.000541709,0.0005420973333333333,6202635,6160798,6180205,6181212.666666667,1543457,1525315,1553633,1540801.6666666667
8100,0.056119084,0.055507708,0.055593833,0.05574020833333334,0.000605166,0.000534458,0.00056575,0.000568458,7046493,7055201,7071705,7057799.666666667,1749692,1776422,1740661,1755591.6666666667
9100,0.063716458,0.062447916,0.063135041,0.063099805,0.000808,0.000739875,0.000765583,0.0007711526666666666,7995521,7971281,7994486,7987096,1975786,2019013,1980809,1991869.3333333333
10100,0.070096542,0.070100416,0.06988025,0.07002573599999999,0.0008105,0.000820209,0.000768834,0.0007998476666666667,8841914,8895024,8861252,8866063.333333334,2200598,2255079,2190772,2215483
11100,0.078260833,0.077840083,0.078478125,0.07819301366666666,0.001045334,0.001049875,0.001115834,0.0010703476666666667,9772052,9789976,9778959,9780329,2410790,2470231,2421688,2434236.3333333335
12100,0.085796292,0.085263291,0.08926325,0.08677427766666668,0.00097575,0.001373667,0.001211958,0.001187125,10687981,10706454,10737072,10710502.333333334,2625456,2663104,2745688,2678082.6666666665
13100,0.092514875,0.094618583,0.093878292,0.09367058333333333,0.001296125,0.001304792,0.001297458,0.0012994583333333332,11565853,11599040,11593172,11586021.666666666,2869061,2961174,2931935,2920723.3333333335
14100,0.100359458,0.099292,0.099327625,0.09965969433333333,0.001244792,0.001162125,0.00115925,0.001188722333333333,12510000,12500024,12476937,12495653.666666666,3164285,3152272,3104590,3140382.3333333335
15100,0.106710709,0.106709125,0.107211917,0.10687725033333334,0.001439292,0.001461542,0.001506542,0.001469125333333333,13371120,13413980,13416448,13400516,3394663,3437759,3416097,3416173
16100,0.115285791,0.114655667,0.113432541,0.11445799966666666,0.001359583,0.001353542,0.001441625,0.0013849166666666665,14323092,14314426,14281409,14306309,3673013,3651666,3571219,3631966
17100,0.121300709,0.121793792,0.122366959,0.12182048666666667,0.001883708,0.001728041,0.001809333,0.0018070273333333333,15211503,15175438,15224476,15203805.666666666,3831919,3796286,3788320,3805508.3333333335
18100,0.129345333,0.128637375,0.128163375,0.128715361,0.001556292,0.001603875,0.001595792,0.001585319666666667,16102887,16070035,16092301,16088407.666666666,4106927,4117309,4088643,4104293
19100,0.13632625,0.140450333,0.141046167,0.13927425000000002,0.001983291,0.002197833,0.002009041,0.002063388333333333,16994416,17001183,17003630,16999743,4244115,4241050,4332115,4272426.666666667
20100,0.149017459,0.145293875,0.146303042,0.14687145866666665,0.002854959,0.002044417,0.002470041,0.0024564723333333335,17873496,17866412,17906676,17882194.666666668,4538791,4408512,4537103,4494802
21100,0.152036917,0.155321208,0.15005525,0.152471125,0.002188083,0.00286125,0.002242542,0.002430625,18825632,18804636,18797661,18809309.666666668,4676882,4788669,4753510,4739687
22100,0.159056958,0.157567375,0.157122958,0.15791576366666668,0.002026917,0.00201275,0.001979792,0.0020064863333333336,19693988,19719135,19708830,19707317.666666668,4932499,4983466,5042488,4986151
